ID,Fato Histórico,Verdadeiro?,Curiosidade
296,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
297,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
298,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
299,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
300,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
301,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
302,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
303,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
304,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
305,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
306,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
307,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
308,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
309,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
310,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
311,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
312,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
313,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
314,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
315,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
316,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
317,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
318,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
319,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
320,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
321,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
322,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
323,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
324,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
325,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
326,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
327,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
328,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
329,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
330,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
331,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
332,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
333,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
334,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
335,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
336,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
337,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
338,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
339,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
340,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
341,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
342,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
343,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
344,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
345,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
346,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
347,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
348,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
349,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
350,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
351,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
352,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
353,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
354,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
355,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
356,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
357,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
358,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
359,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
360,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
361,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
362,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
363,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
364,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
365,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
366,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
367,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
368,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
369,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
370,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
371,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
372,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
373,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
374,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
375,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
376,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
377,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
378,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
379,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
380,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
381,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
382,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
383,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
384,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
385,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
386,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
387,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
388,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
389,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
390,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
391,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
392,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
393,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
394,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
395,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
396,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
397,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
398,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
399,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
400,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
401,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
402,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
403,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
404,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
405,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
406,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
407,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
408,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
409,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
410,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
411,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
412,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
413,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
414,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
415,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
416,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
417,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
418,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
419,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
420,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
421,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
422,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
423,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
424,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
425,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
426,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
427,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
